id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,table_name,dq_rule,severity
120,ADANIPORTS,Mar 2013,3577,1195,2382.0,67.0,344,542,422,1762,7.0,1639,8.0,12.0,profitandloss,DQ-02,CRITICAL
121,ADANIPORTS,Mar 2014,4830,1910,2919.0,60.0,685,977,649,1978,12.0,1741,8.0,12.0,profitandloss,DQ-02,CRITICAL
122,ADANIPORTS,Mar 2015,6152,2250,3902.0,63.0,686,1175,912,2501,7.0,2324,11.0,10.0,profitandloss,DQ-02,CRITICAL
123,ADANIPORTS,Mar 2016,7109,2532,4577.0,64.0,730,1124,1063,3119,9.0,2856,14.0,8.0,profitandloss,DQ-02,CRITICAL
124,ADANIPORTS,Mar 2017,8439,3021,5418.0,64.0,1037,1116,1160,4179,7.0,3902,19.0,7.0,profitandloss,DQ-02,CRITICAL
125,ADANIPORTS,Mar 2018,11323,4166,7157.0,63.0,844,1579,1188,5234,30.0,3690,18.0,11.0,profitandloss,DQ-02,CRITICAL
126,ADANIPORTS,Mar 2019,10925,4330,6596.0,60.0,1289,1385,1373,5126,21.0,4045,19.0,1.0,profitandloss,DQ-02,CRITICAL
127,ADANIPORTS,Mar 2020,11873,5926,5947.0,50.0,1928,1951,1680,4244,11.0,3785,19.0,17.0,profitandloss,DQ-02,CRITICAL
128,ADANIPORTS,Mar 2021,12550,3862,8688.0,69.0,1967,2255,2107,6292,20.0,5049,25.0,20.0,profitandloss,DQ-02,CRITICAL
129,ADANIPORTS,Mar 2022,17119,7591,9528.0,56.0,1832,2544,3099,5717,13.0,4953,23.0,22.0,profitandloss,DQ-02,CRITICAL
130,ADANIPORTS,Mar 2023,20852,9905,10947.0,52.0,327,2363,3425,5487,2.0,5391,25.0,20.0,profitandloss,DQ-02,CRITICAL
131,ADANIPORTS,Mar 2024,26711,11121,15589.0,58.0,671,2733,3888,9639,16.0,8104,38.0,16.0,profitandloss,DQ-02,CRITICAL
132,ADANIPORTS,TTM,28443,11278,17165.0,60.0,1039,2591,4053,11560,,9743,45.0,,profitandloss,DQ-02,CRITICAL
133,ADANIPORTS,Mar 2013,3577,1195,2382.0,67.0,344,542,422,1762,7.0,1639,8.0,12.0,profitandloss,DQ-02,CRITICAL
134,ADANIPORTS,Mar 2014,4830,1910,2919.0,60.0,685,977,649,1978,12.0,1741,8.0,12.0,profitandloss,DQ-02,CRITICAL
135,ADANIPORTS,Mar 2015,6152,2250,3902.0,63.0,686,1175,912,2501,7.0,2324,11.0,10.0,profitandloss,DQ-02,CRITICAL
136,ADANIPORTS,Mar 2016,7109,2532,4577.0,64.0,730,1124,1063,3119,9.0,2856,14.0,8.0,profitandloss,DQ-02,CRITICAL
137,ADANIPORTS,Mar 2017,8439,3021,5418.0,64.0,1037,1116,1160,4179,7.0,3902,19.0,7.0,profitandloss,DQ-02,CRITICAL
138,ADANIPORTS,Mar 2018,11323,4166,7157.0,63.0,844,1579,1188,5234,30.0,3690,18.0,11.0,profitandloss,DQ-02,CRITICAL
139,ADANIPORTS,Mar 2019,10925,4330,6596.0,60.0,1289,1385,1373,5126,21.0,4045,19.0,1.0,profitandloss,DQ-02,CRITICAL
140,ADANIPORTS,Mar 2020,11873,5926,5947.0,50.0,1928,1951,1680,4244,11.0,3785,19.0,17.0,profitandloss,DQ-02,CRITICAL
141,ADANIPORTS,Mar 2021,12550,3862,8688.0,69.0,1967,2255,2107,6292,20.0,5049,25.0,20.0,profitandloss,DQ-02,CRITICAL
142,ADANIPORTS,Mar 2022,17119,7591,9528.0,56.0,1832,2544,3099,5717,13.0,4953,23.0,22.0,profitandloss,DQ-02,CRITICAL
143,ADANIPORTS,Mar 2023,20852,9905,10947.0,52.0,327,2363,3425,5487,2.0,5391,25.0,20.0,profitandloss,DQ-02,CRITICAL
144,ADANIPORTS,Mar 2024,26711,11121,15589.0,58.0,671,2733,3888,9639,16.0,8104,38.0,16.0,profitandloss,DQ-02,CRITICAL
145,ADANIPORTS,TTM,28443,11278,17165.0,60.0,1039,2591,4053,11560,,9743,45.0,,profitandloss,DQ-02,CRITICAL
1263,ULTRACEMCO,Mar 2013,20514,15674,4839.0,24.0,304,252,1023,3867,30.0,2688,98.0,9.0,profitandloss,DQ-03,CRITICAL
1264,ULTRACEMCO,Mar 2014,20730,16695,4035.0,19.0,322,361,1139,2858,23.0,2213,80.0,11.0,profitandloss,DQ-03,CRITICAL
1265,ULTRACEMCO,Mar 2015,23306,18881,4425.0,19.0,350,587,1203,2986,30.0,2102,76.0,12.0,profitandloss,DQ-03,CRITICAL
1266,ULTRACEMCO,Mar 2016,25153,20252,4901.0,19.0,464,566,1377,3421,28.0,2480,90.0,11.0,profitandloss,DQ-03,CRITICAL
